customer_id,customer_name,street_address,city,zipcode,county,region,viewing_frequency,Total_No_of_Shows,total_view_duration,total_no_of_shows,churn
42167,23008,31134,1291,7834,625,0,0,14.467085191269655,,,1
43884,18468,30760,564,76426,1034,3,0,14.467085191269655,,,0
45956,35599,8803,598,6804,319,0,0,14.467085191269655,,,0
34504,41008,12677,2610,83634,1,4,0,14.467085191269655,,,0
27331,23650,10589,3028,54449,1035,1,0,14.467085191269655,,,0
47176,35305,35259,5289,98951,1044,4,0,14.467085191269655,,,0
26021,4653,15862,4477,91350,548,4,0,14.467085191269655,,,1
36954,19980,10343,2230,11801,635,0,0,14.467085191269655,,,0
42757,1129,42609,5366,33545,702,2,0,14.467085191269655,,,0
22235,5832,42092,602,11228,495,0,129,13.0,5830.0,13.0,0
13699,27050,49199,1769,46835,17,1,55,5.0,2995.0,5.0,1
36281,2647,34320,3660,92057,823,4,0,14.467085191269655,,,0
40103,42818,48551,5307,20001,277,0,0,14.467085191269655,,,0
38523,35064,22278,4185,90278,548,4,0,14.467085191269655,,,0
6410,42494,49007,4877,23435,909,0,0,14.467085191269655,,,0
46555,32464,25056,2635,91750,548,4,0,14.467085191269655,,,0
34674,13176,21826,5514,23185,1026,0,0,14.467085191269655,,,0
39648,14558,13373,2339,77008,410,3,0,14.467085191269655,,,1
21608,4247,19967,2339,77058,410,3,235,29.0,10601.0,29.0,0
40080,31631,25691,46,87104,80,3,0,14.467085191269655,,,1
21285,36510,9599,1597,21221,48,0,217,26.0,10251.0,26.0,0
33202,21528,13009,2404,46202,570,1,0,14.467085191269655,,,0
2469,3348,18111,3684,76466,298,3,70,5.0,3097.0,5.0,0
22354,22949,37859,33,44306,912,1,138,14.0,5660.0,14.0,0
47908,39263,21921,5443,44145,241,1,0,14.467085191269655,,,0
47637,15052,33545,3122,32935,108,2,0,14.467085191269655,,,0
39582,31644,18614,109,45711,37,1,0,14.467085191269655,,,0
33403,13490,41301,2339,77092,410,3,0,14.467085191269655,,,0
22335,19847,4404,4386,11412,763,0,167,14.0,8473.0,14.0,0
32227,43961,20308,1964,85395,568,3,0,14.467085191269655,,,0
45246,2423,27589,1533,89801,307,4,0,14.467085191269655,,,0
44298,22380,15298,3934,85022,568,3,0,14.467085191269655,,,0
11729,40246,37695,4844,30087,266,2,0,14.467085191269655,,,0
29329,14780,16756,990,48038,557,1,0,14.467085191269655,,,0
4850,32297,23867,1122,29435,209,2,135,14.0,6390.0,14.0,0
3843,33832,26693,5285,14568,1003,0,117,17.0,5497.0,17.0,1
43042,40801,36503,3649,34482,570,2,0,14.467085191269655,,,0
16956,37197,35288,419,35242,860,2,1,1.0,0.0,1.0,1
41615,22009,29308,2353,49426,688,1,0,14.467085191269655,,,1
39125,19404,11948,2806,7036,961,0,0,14.467085191269655,,,1
16651,47642,29612,3270,36111,620,2,132,19.0,5905.0,19.0,0
31171,16254,31023,4825,48310,557,1,0,14.467085191269655,,,0
39859,26906,42701,3578,29582,440,2,0,14.467085191269655,,,1
4437,17940,32592,5409,47906,939,1,98,14.0,5114.0,14.0,0
11382,39726,21239,4111,2909,757,0,0,14.467085191269655,,,0
7767,6975,3759,874,28277,591,2,0,14.467085191269655,,,1
22893,38490,14413,1747,80526,519,3,110,14.0,5285.0,14.0,0
43260,38052,35299,3765,21117,48,0,0,14.467085191269655,,,0
6442,38966,22603,3394,60565,291,1,0,14.467085191269655,,,1
25762,43129,34223,2807,11757,910,0,0,14.467085191269655,,,0
38149,30211,8231,1022,35452,955,2,0,14.467085191269655,,,0
46885,30902,49769,1988,81501,595,3,0,14.467085191269655,,,0
14298,2873,6801,3289,46158,624,1,104,13.0,4168.0,13.0,0
34136,25057,49479,2339,77088,410,3,0,14.467085191269655,,,1
10488,16561,25334,4433,84119,819,3,0,14.467085191269655,,,0
37086,13056,39340,3317,60053,221,1,0,14.467085191269655,,,0
17112,26367,22221,3103,75071,211,3,144,13.0,7310.0,13.0,0
23733,28623,6047,5056,66604,859,1,19,3.0,990.0,3.0,1
33747,15353,10927,844,20120,318,0,0,14.467085191269655,,,0
34230,5196,12358,1988,49056,967,1,0,14.467085191269655,,,0
22515,49635,30222,959,95612,1049,4,131,14.0,5569.0,14.0,0
7649,34836,49255,4210,76078,1034,3,0,14.467085191269655,,,1
21367,11409,28437,2049,97080,629,4,32,4.0,1568.0,4.0,1
30111,23061,30215,4522,97374,540,4,0,14.467085191269655,,,0
36883,25962,17146,132,21401,23,0,0,14.467085191269655,,,0
6653,10607,36674,5048,8755,664,0,0,14.467085191269655,,,1
11858,29341,3579,5324,95076,837,4,0,14.467085191269655,,,0
21625,26763,5811,5515,14589,1003,0,215,29.0,9372.0,29.0,0
45678,2852,13770,191,81611,729,3,0,14.467085191269655,,,0
25476,29513,22335,1117,97330,74,4,0,14.467085191269655,,,0
5815,34892,1366,2135,45030,394,1,0,14.467085191269655,,,0
22540,19811,23734,5038,43606,551,1,10,1.0,583.0,1.0,1
34753,42551,35138,575,2135,910,0,0,14.467085191269655,,,0
3057,3075,9695,4034,33981,173,2,93,10.0,3690.0,10.0,0
33317,38905,4558,4388,32095,888,2,0,14.467085191269655,,,1
37329,44362,17655,4304,60008,221,1,0,14.467085191269655,,,0
28304,8004,5769,3570,91605,548,4,0,14.467085191269655,,,0
21306,42003,32245,4019,33068,119,2,271,28.0,12689.0,28.0,0
14643,18877,48580,2976,66502,787,1,111,13.0,4218.0,13.0,0
33664,8263,722,1797,21702,340,0,0,14.467085191269655,,,0
34542,21141,13566,5456,32465,390,2,0,14.467085191269655,,,0
20614,31517,24085,1752,33312,119,2,166,29.0,7771.0,29.0,0
46332,29375,30685,1908,21060,23,0,0,14.467085191269655,,,0
6170,41129,35438,5466,57276,115,1,0,14.467085191269655,,,1
6534,8762,19895,3710,43616,551,1,0,14.467085191269655,,,0
22025,42359,33305,1723,11358,763,0,114,14.0,4732.0,14.0,0
36403,33177,38175,2339,77016,410,3,0,14.467085191269655,,,0
36686,21815,20509,5360,45692,463,1,0,14.467085191269655,,,0
10525,47162,48507,1051,21045,441,0,0,14.467085191269655,,,0
38683,35016,7148,2734,30045,391,2,0,14.467085191269655,,,1
5538,4375,32748,4036,43452,688,1,0,14.467085191269655,,,1
31269,6832,43846,3224,55426,422,1,0,14.467085191269655,,,0
5772,817,39633,5098,85748,725,3,0,14.467085191269655,,,1
4547,7149,269,5545,60190,291,1,10,2.0,531.0,2.0,1
18415,34405,2379,5074,49696,376,1,27,4.0,1399.0,4.0,1
31429,13789,39666,824,52404,540,1,0,14.467085191269655,,,1
22026,22418,34858,1573,91436,548,4,91,14.0,3889.0,14.0,0
1339,15563,38455,942,45248,394,1,32,3.0,1214.0,3.0,0
3817,2759,43516,5419,33405,695,2,124,14.0,5637.0,14.0,0
46069,36921,46771,3905,32507,316,2,0,14.467085191269655,,,0
13501,34746,35081,3168,11953,910,0,262,29.0,11410.0,29.0,0
34624,47703,10897,4794,84663,963,3,0,14.467085191269655,,,0
44604,44080,24340,2125,59526,91,4,0,14.467085191269655,,,0
8250,47495,40929,214,80019,2,3,0,14.467085191269655,,,1
21896,25825,22121,3431,47150,332,1,85,12.0,3496.0,12.0,0
25517,43471,6549,923,91710,822,4,0,14.467085191269655,,,1
26882,7357,36112,4260,82501,343,4,0,14.467085191269655,,,0
4976,12773,517,4349,2120,910,0,132,14.0,5125.0,14.0,0
10998,5208,34790,3974,14534,616,0,0,14.467085191269655,,,0
28662,39490,17129,2785,20653,894,0,0,14.467085191269655,,,0
33794,9385,2451,529,15014,16,0,0,14.467085191269655,,,0
2437,14220,16295,202,47918,337,1,41,4.0,2169.0,4.0,0
43630,7847,45085,215,78704,947,3,0,14.467085191269655,,,0
20937,45336,32909,1133,91724,548,4,196,20.0,8990.0,20.0,1
47054,14455,41810,2339,77022,410,3,0,14.467085191269655,,,0
3196,38986,17324,376,8009,145,0,168,15.0,7576.0,15.0,0
32060,42505,9064,876,22902,10,0,0,14.467085191269655,,,0
42176,1361,46149,244,93312,489,4,0,14.467085191269655,,,0
17244,22233,21917,4704,46628,889,1,200,29.0,8563.0,29.0,0
27152,35494,30319,184,28805,127,2,0,14.467085191269655,,,0
34854,38556,39637,256,21224,47,0,0,14.467085191269655,,,1
27952,9199,20126,3360,27958,238,2,0,14.467085191269655,,,0
9629,39121,34965,2881,90032,548,4,0,14.467085191269655,,,1
35555,40349,11857,1037,26035,114,2,0,14.467085191269655,,,1
39576,42272,11756,2780,83501,652,4,0,14.467085191269655,,,0
6233,35296,12973,4815,10314,786,0,0,14.467085191269655,,,0
22377,43506,9659,373,60163,221,1,62,5.0,2655.0,5.0,1
49562,30584,35913,4140,27604,983,2,0,14.467085191269655,,,0
8945,25741,27673,721,43110,339,1,0,14.467085191269655,,,0
42237,44062,32172,291,70808,297,2,0,14.467085191269655,,,0
30169,45998,10924,823,78613,1027,3,0,14.467085191269655,,,1
628,38220,6922,117,92805,679,4,118,12.0,5431.0,12.0,0
25647,12027,14616,3511,23607,650,0,0,14.467085191269655,,,0
13374,48159,17931,4125,85142,568,3,200,25.0,9243.0,25.0,1
32944,21442,14820,5608,44691,1003,1,0,14.467085191269655,,,0
12407,47969,44771,3981,46168,420,1,62,9.0,2458.0,9.0,0
41997,26890,36687,4269,14622,616,0,0,14.467085191269655,,,1
16076,835,22723,1056,43085,339,1,110,14.0,5390.0,14.0,0
25190,18475,2925,4002,10570,1010,0,0,14.467085191269655,,,0
28104,18744,3169,215,78748,947,3,0,14.467085191269655,,,1
26258,45180,46615,3391,10954,801,0,0,14.467085191269655,,,0
33748,24228,15214,1922,91201,548,4,0,14.467085191269655,,,0
27232,8403,33801,4948,33614,432,2,0,14.467085191269655,,,1
44745,26635,48431,2339,77040,410,3,0,14.467085191269655,,,0
6682,47865,4690,5641,10598,1010,0,0,14.467085191269655,,,0
47064,15623,27404,3120,44256,592,1,0,14.467085191269655,,,0
30148,2914,36437,2446,32244,295,2,0,14.467085191269655,,,0
36191,20779,31105,3289,46158,624,1,0,14.467085191269655,,,0
46987,9733,25087,2662,60156,582,1,0,14.467085191269655,,,0
10596,34101,26447,4114,81005,758,3,0,14.467085191269655,,,0
43231,24732,24453,1891,85233,568,3,0,14.467085191269655,,,0
29795,43923,24431,207,98001,491,4,0,14.467085191269655,,,1
9989,4242,3284,1656,58103,159,1,0,14.467085191269655,,,0
13794,48502,10226,1723,11367,763,0,97,18.0,3945.0,18.0,0
40935,14071,4017,3474,34654,702,2,0,14.467085191269655,,,0
79,43356,1261,501,2118,910,0,21,4.0,845.0,4.0,1
33499,7044,16260,1752,33301,119,2,0,14.467085191269655,,,1
46284,10978,14817,2220,92345,822,4,0,14.467085191269655,,,0
1846,19974,35908,244,93307,489,4,273,28.0,11544.0,28.0,0
32824,19275,28658,4440,92113,823,4,0,14.467085191269655,,,1
41885,4303,34920,4063,97202,629,4,0,14.467085191269655,,,0
36138,20473,10699,531,34212,565,2,0,14.467085191269655,,,1
8701,29442,1998,2723,28352,848,2,0,14.467085191269655,,,1
18995,47774,24368,4291,24151,339,0,238,29.0,11245.0,29.0,0
48223,20355,42643,207,98002,491,4,0,14.467085191269655,,,0
32737,42146,9115,1805,4032,237,0,0,14.467085191269655,,,0
43312,15373,29131,5317,48329,663,1,0,14.467085191269655,,,0
40604,11288,11363,2339,77068,410,3,0,14.467085191269655,,,1
9087,10885,16896,3156,85202,568,3,0,14.467085191269655,,,0
46219,31041,25323,3855,43062,537,1,0,14.467085191269655,,,0
17509,45397,44330,5098,85757,725,3,214,29.0,8668.0,29.0,0
30467,11299,22154,618,76801,120,3,0,14.467085191269655,,,0
34912,47256,18203,739,33904,526,2,0,14.467085191269655,,,0
22198,25423,38727,2339,77007,410,3,174,19.0,8383.0,19.0,1
7513,24940,45300,4063,97236,629,4,0,14.467085191269655,,,1
45794,15871,47155,3814,32408,60,2,0,14.467085191269655,,,0
13493,19832,12044,2490,21085,407,0,80,9.0,3439.0,9.0,0
36801,2780,1803,900,23831,182,0,0,14.467085191269655,,,1
35741,33047,990,2744,62254,884,1,0,14.467085191269655,,,0
27577,15487,2865,2734,62439,522,1,0,14.467085191269655,,,0
48056,45761,33451,5585,22193,756,0,0,14.467085191269655,,,0
24024,22936,7174,2133,19952,488,0,0,14.467085191269655,,,0
41946,47324,32415,2018,59405,158,4,0,14.467085191269655,,,0
20035,11742,25634,1771,76107,928,3,95,13.0,4435.0,13.0,0
12632,18006,11724,3999,12569,294,0,126,13.0,5541.0,13.0,0
895,13139,13128,345,98225,1013,4,129,14.0,6706.0,14.0,0
27700,24239,31041,1745,53538,467,1,0,14.467085191269655,,,1
12866,42283,49054,2621,92037,823,4,81,10.0,3893.0,10.0,1
753,42319,19612,4554,2771,111,0,38,4.0,1485.0,4.0,0
30055,44211,17372,2892,40206,467,2,0,14.467085191269655,,,1
610,38216,10426,3640,94611,8,4,106,14.0,4312.0,14.0,0
39023,49412,32181,2292,33023,119,2,0,14.467085191269655,,,0
12858,32579,42191,3184,84047,819,3,236,26.0,11834.0,26.0,0
43998,12932,11126,1836,20878,620,0,0,14.467085191269655,,,0
27145,1111,38470,4790,22150,318,0,0,14.467085191269655,,,1
45197,11952,46213,5098,85742,725,3,0,14.467085191269655,,,0
22181,35758,16371,1881,20876,620,0,163,20.0,7146.0,20.0,1
7483,11912,1974,3488,12553,679,0,0,14.467085191269655,,,0
49470,11,24446,5050,14150,315,0,0,14.467085191269655,,,0
18284,13011,43344,3718,32819,679,2,113,14.0,4300.0,14.0,0
23059,28008,25612,3463,60451,1024,1,196,25.0,8731.0,25.0,0
31058,14370,49136,2829,80126,285,3,0,14.467085191269655,,,0
44753,20207,30141,874,28209,591,2,0,14.467085191269655,,,0
8772,33510,37890,3131,38115,860,2,0,14.467085191269655,,,0
820,16999,30006,5105,74134,952,3,95,9.0,3867.0,9.0,1
43800,45364,18268,1404,33839,736,2,0,14.467085191269655,,,0
4029,49374,48954,2829,80126,285,3,92,14.0,3830.0,14.0,0
6300,42281,31736,2339,77007,410,3,0,14.467085191269655,,,0
37375,47668,32262,794,80104,285,3,0,14.467085191269655,,,0
31163,7848,10638,2044,46142,471,1,0,14.467085191269655,,,1
11536,23713,36998,2774,84639,474,3,0,14.467085191269655,,,1
48290,6757,23454,1661,48331,663,1,0,14.467085191269655,,,0
8884,35989,47527,841,11722,910,0,0,14.467085191269655,,,1
24649,20499,13516,2292,33029,119,2,0,14.467085191269655,,,0
21496,34227,47128,4995,92274,454,4,28,6.0,848.0,6.0,1
35334,41891,32575,2578,67068,494,1,0,14.467085191269655,,,0
14687,1349,7830,4468,13145,685,0,97,11.0,4323.0,11.0,1
27478,48567,14473,1202,77433,410,3,0,14.467085191269655,,,0
4635,15346,34039,2384,12538,294,0,87,13.0,3896.0,13.0,0
27816,21834,14614,5373,53090,996,1,0,14.467085191269655,,,0
15509,20419,25878,1891,85234,568,3,102,14.0,4519.0,14.0,0
46027,3975,46569,2265,37343,394,2,0,14.467085191269655,,,0
10957,43144,29080,3934,85044,568,3,0,14.467085191269655,,,1
25304,25764,30459,1174,76036,928,3,0,14.467085191269655,,,1
16270,20845,6998,3640,48363,663,1,10,1.0,564.0,1.0,0
29006,29907,11071,5238,93292,951,4,0,14.467085191269655,,,0
5533,23852,42118,549,44141,241,1,0,14.467085191269655,,,0
34380,17948,35936,4792,71075,1006,2,0,14.467085191269655,,,1
23238,40014,9197,2920,24501,555,0,110,14.0,4779.0,14.0,0
40834,33321,14215,2683,33801,736,2,0,14.467085191269655,,,0
21746,23586,24821,2094,76117,928,3,91,11.0,3710.0,11.0,0
6349,2145,27644,2757,33976,526,2,0,14.467085191269655,,,0
1373,16831,17308,2683,33815,736,2,170,16.0,7366.0,16.0,0
37293,23370,32300,1582,98022,491,4,0,14.467085191269655,,,0
26963,6388,9031,2479,37604,996,2,0,14.467085191269655,,,0
7119,14344,10323,5097,8087,664,0,0,14.467085191269655,,,0
7163,4718,42259,642,60089,511,1,0,14.467085191269655,,,1
26768,47334,38978,3191,45150,199,1,0,14.467085191269655,,,1
39616,11763,37868,4896,29154,914,2,0,14.467085191269655,,,0
18421,25718,14888,1680,32034,635,2,214,26.0,9652.0,26.0,0
14933,388,13510,4879,77479,336,3,19,3.0,923.0,3.0,0
9804,47893,3318,4220,23220,785,0,0,14.467085191269655,,,0
17943,24191,35881,2629,77571,410,3,235,29.0,10725.0,29.0,0
35786,7283,1020,4719,90280,548,4,0,14.467085191269655,,,0
3391,951,47544,4457,90731,548,4,195,29.0,8247.0,29.0,0
6134,19710,16039,1304,48235,1003,1,0,14.467085191269655,,,0
6014,19452,6217,4034,33981,173,2,0,14.467085191269655,,,0
37341,2537,47738,4220,23220,785,0,0,14.467085191269655,,,0
40458,606,61,3405,91950,823,4,0,14.467085191269655,,,0
30048,35438,12868,3162,33181,597,2,0,14.467085191269655,,,0
25675,36196,6757,207,95603,733,4,0,14.467085191269655,,,0
19419,30439,39373,1056,43223,339,1,90,14.0,3534.0,14.0,0
23925,37063,38837,939,78108,387,3,5,1.0,240.0,1.0,1
14778,30273,966,5640,23690,1050,0,123,13.0,5689.0,13.0,1
34671,36668,750,4907,94086,836,4,0,14.467085191269655,,,0
28017,3675,40606,5406,11795,910,0,0,14.467085191269655,,,1
31365,35505,38654,2188,84032,993,3,0,14.467085191269655,,,1
23184,43596,31118,3945,48169,543,1,123,12.0,6322.0,12.0,1
8890,34871,42359,4232,11385,763,0,0,14.467085191269655,,,0
19736,36232,40745,531,34209,565,2,80,13.0,3987.0,13.0,0
29713,38036,40130,907,60629,221,1,0,14.467085191269655,,,1
20040,19022,34807,4628,85635,204,3,300,29.0,13389.0,29.0,0
29366,13382,12883,4707,5403,186,0,0,14.467085191269655,,,0
34035,20190,14954,2239,32643,6,2,0,14.467085191269655,,,0
32159,6796,19149,4408,63114,891,1,0,14.467085191269655,,,1
17973,39454,17875,3794,33418,695,2,68,10.0,2571.0,10.0,1
27804,39600,34250,2786,59923,539,4,0,14.467085191269655,,,0
35376,24102,20843,366,60106,291,1,0,14.467085191269655,,,1
22044,42921,34909,1573,91316,548,4,130,13.0,5899.0,13.0,1
20632,12166,12204,2580,28086,200,2,130,15.0,6526.0,15.0,0
40533,16419,31292,80,30022,346,2,0,14.467085191269655,,,0
31655,16163,29253,4780,77386,620,3,0,14.467085191269655,,,0
26340,26965,28197,2586,12401,959,0,0,14.467085191269655,,,0
36876,2029,28638,4790,1108,395,0,0,14.467085191269655,,,0
2255,6251,25868,4353,75189,802,3,1,1.0,2.0,1.0,1
34138,34218,6805,3838,80134,285,3,0,14.467085191269655,,,0
49751,30778,23240,636,78610,416,3,0,14.467085191269655,,,0
44674,17885,12835,4220,47374,1003,1,0,14.467085191269655,,,0
25358,33633,31453,2892,40216,467,2,0,14.467085191269655,,,1
3850,25023,30799,3934,85086,568,3,9,2.0,468.0,2.0,1
49146,37163,8588,5183,91401,548,4,0,14.467085191269655,,,0
49016,2820,46861,3782,44077,511,1,0,14.467085191269655,,,0
49377,13120,7489,3768,93033,971,4,0,14.467085191269655,,,0
14893,25628,8278,3906,85381,568,3,159,14.0,8209.0,14.0,0
36137,42624,24554,1269,13753,268,0,0,14.467085191269655,,,1
9931,44719,3908,896,23324,181,0,0,14.467085191269655,,,0
13188,25006,42676,1289,76209,270,3,118,11.0,5253.0,11.0,0
42124,13694,3293,1393,27701,293,2,0,14.467085191269655,,,0
11046,19781,4613,3162,33150,597,2,0,14.467085191269655,,,1
18669,28669,40744,2513,77449,410,3,125,14.0,6132.0,14.0,0
24156,23821,22464,1630,29643,666,2,0,14.467085191269655,,,1
32543,15347,20945,2740,77573,351,3,0,14.467085191269655,,,0
40659,1018,27948,3213,53212,603,1,0,14.467085191269655,,,0
3532,18835,34559,190,14710,176,0,96,13.0,3894.0,13.0,0
7846,48642,30648,2856,90807,548,4,0,14.467085191269655,,,1
46639,46284,49358,4546,98126,491,4,0,14.467085191269655,,,0
32601,15538,33135,981,44144,241,1,0,14.467085191269655,,,0
516,14066,34069,2856,90808,548,4,234,25.0,9950.0,25.0,0
2882,1831,26677,2016,1230,79,0,127,14.0,5331.0,14.0,0
10683,17456,44910,3819,91402,548,4,0,14.467085191269655,,,1
12293,29812,15877,3154,32953,108,2,152,14.0,7715.0,14.0,0
39439,46088,32400,415,59106,1048,4,0,14.467085191269655,,,0
7158,24296,39047,1393,27713,293,2,0,14.467085191269655,,,0
11924,22794,37174,4484,95409,875,4,0,14.467085191269655,,,0
49642,34257,20633,4207,43068,339,1,0,14.467085191269655,,,0
33624,24797,5602,4737,7080,598,0,0,14.467085191269655,,,0
33885,942,5056,1812,93701,344,4,0,14.467085191269655,,,1
44627,10126,47375,710,19934,488,0,0,14.467085191269655,,,0
1138,4542,23508,5244,76708,585,3,148,16.0,6730.0,16.0,1
38460,5640,10009,973,33760,727,2,0,14.467085191269655,,,1
42753,47383,1002,4447,95129,836,4,0,14.467085191269655,,,0
7743,4292,7796,2134,17102,252,0,0,14.467085191269655,,,1
20151,252,8985,2362,28078,591,2,110,11.0,5093.0,11.0,0
28481,3511,35650,297,97107,937,4,0,14.467085191269655,,,0
16501,9514,34063,2199,89012,193,4,140,16.0,6552.0,16.0,0
9427,27052,7660,2339,77009,410,3,0,14.467085191269655,,,1
22037,31241,26982,4739,4106,237,0,263,29.0,12124.0,29.0,0
46107,8187,32273,1771,76133,928,3,0,14.467085191269655,,,0
6692,30389,38626,4438,93450,618,4,0,14.467085191269655,,,0
6029,36174,20821,256,21224,47,0,0,14.467085191269655,,,1
32887,7266,3300,2484,60435,1024,1,0,14.467085191269655,,,0
42093,23598,4287,2446,32256,295,2,0,14.467085191269655,,,0
42051,36066,13269,1573,91316,548,4,0,14.467085191269655,,,0
22277,9783,42308,233,87410,827,3,53,5.0,1567.0,5.0,1
8154,6951,2674,1635,22030,318,0,0,14.467085191269655,,,0
21390,38306,4601,1066,28025,136,2,137,14.0,6604.0,14.0,0
37992,28190,41005,1102,12822,841,0,0,14.467085191269655,,,0
9308,30580,38963,2036,11740,910,0,0,14.467085191269655,,,0
33426,39622,25889,3856,11772,910,0,0,14.467085191269655,,,0
43957,24206,7239,4248,95366,826,4,0,14.467085191269655,,,1
7537,19367,23759,2881,90018,548,4,0,14.467085191269655,,,0
27073,19922,4687,4204,20190,318,0,0,14.467085191269655,,,1
42612,13607,18389,4440,92114,823,4,0,14.467085191269655,,,0
32152,11312,11087,3838,80134,285,3,0,14.467085191269655,,,0
4493,32398,21967,1222,25832,766,2,125,14.0,5619.0,14.0,0
4960,6042,8128,2228,28601,162,2,235,24.0,12100.0,24.0,1
30874,6992,37493,1363,94568,8,4,0,14.467085191269655,,,1
30145,29113,39191,1534,21075,441,0,0,14.467085191269655,,,0
46976,38072,40840,5100,91042,548,4,0,14.467085191269655,,,0
40626,18161,4841,5348,33597,914,2,0,14.467085191269655,,,1
43516,46076,15400,2339,77088,410,3,0,14.467085191269655,,,0
24628,42591,42689,3122,32935,108,2,0,14.467085191269655,,,1
25277,46129,24873,5044,75489,381,3,0,14.467085191269655,,,0
20650,15326,46379,2022,11739,910,0,19,3.0,1028.0,3.0,1
7697,20424,15037,3581,33408,695,2,0,14.467085191269655,,,0
5185,42180,9304,1211,30157,706,2,0,14.467085191269655,,,0
7532,7495,31966,2339,77068,410,3,0,14.467085191269655,,,1
19924,40745,41249,4104,55372,849,1,8,2.0,246.0,2.0,0
11456,26745,39379,5098,85741,725,3,0,14.467085191269655,,,0
25984,46075,49331,4634,81652,352,3,0,14.467085191269655,,,1
26844,28800,22606,5601,76491,935,3,0,14.467085191269655,,,0
5013,16860,21666,5383,91791,548,4,74,11.0,3280.0,11.0,1
29750,24994,37992,4047,32128,978,2,0,14.467085191269655,,,1
8966,24577,102,2339,77047,410,3,0,14.467085191269655,,,0
47551,44973,19352,2863,80501,101,3,0,14.467085191269655,,,0
31158,43202,42896,5236,55792,891,1,0,14.467085191269655,,,1
37772,17041,33926,2598,34746,684,2,0,14.467085191269655,,,0
24988,26724,30697,1756,33841,736,2,0,14.467085191269655,,,1
49548,22157,2862,901,23838,182,0,0,14.467085191269655,,,0
46950,35571,43550,362,97702,272,4,0,14.467085191269655,,,0
46666,48126,13326,5281,94595,220,4,0,14.467085191269655,,,0
12634,32085,8464,314,97005,996,4,228,29.0,10257.0,29.0,0
42034,18359,27526,1382,8812,873,0,0,14.467085191269655,,,1
32550,26147,25297,3090,21541,353,0,0,14.467085191269655,,,1
33450,16066,20037,5404,91307,548,4,0,14.467085191269655,,,0
48366,23026,42208,4427,48176,998,1,0,14.467085191269655,,,0
2689,10592,8984,247,91706,548,4,22,1.0,1242.0,1.0,1
19688,17969,37985,1637,94534,872,4,117,13.0,4706.0,13.0,0
42084,37177,18930,4220,77469,336,3,0,14.467085191269655,,,1
26986,48241,21032,5162,91355,548,4,0,14.467085191269655,,,0
6326,5104,25431,4617,11967,910,0,0,14.467085191269655,,,0
26151,3932,39437,5069,21204,48,0,0,14.467085191269655,,,0
46591,26354,17601,215,78723,947,3,0,14.467085191269655,,,0
13759,16929,25239,5319,46793,260,1,68,9.0,3411.0,9.0,0
39300,38239,45090,2920,24504,555,0,0,14.467085191269655,,,0
34159,6395,19093,739,33904,526,2,0,14.467085191269655,,,0
39311,7659,48172,4446,92582,792,4,0,14.467085191269655,,,0
43707,14868,42134,4532,85266,568,3,0,14.467085191269655,,,1
40913,12044,20949,784,56633,159,1,0,14.467085191269655,,,0
